station,date,precip,tobs,latitude,longitude,elevation,name,country,state
USC00519397,01/01/2010,0.08,65,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,02/01/2010,0,63,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,03/01/2010,0,74,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,04/01/2010,0,76,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,06/01/2010,0,73,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,07/01/2010,0.06,70,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,08/01/2010,0,64,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,09/01/2010,0,68,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,10/01/2010,0,73,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,11/01/2010,0.01,64,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,12/01/2010,0,61,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,14/01/2010,0,66,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,15/01/2010,0,65,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,16/01/2010,0,68,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,17/01/2010,0,64,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,18/01/2010,0,72,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,19/01/2010,0,66,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,20/01/2010,0,66,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,21/01/2010,0,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,22/01/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,23/01/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,24/01/2010,0.01,71,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,25/01/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,26/01/2010,0.04,76,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,27/01/2010,0.12,68,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,28/01/2010,0,72,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,30/01/2010,0,70,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,31/01/2010,0.03,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,01/02/2010,0.01,66,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,03/02/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,04/02/2010,0.01,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,05/02/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,06/02/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,07/02/2010,0,64,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,08/02/2010,0,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,09/02/2010,0,73,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,11/02/2010,0,73,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,12/02/2010,0.02,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,13/02/2010,0.01,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,14/02/2010,0,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,15/02/2010,0,71,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,16/02/2010,0,61,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,17/02/2010,0,69,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,19/02/2010,0,63,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,20/02/2010,0.03,64,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,21/02/2010,0,65,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,22/02/2010,0,67,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,23/02/2010,0,68,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,24/02/2010,0,65,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,25/02/2010,0,76,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,26/02/2010,0,75,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
USC00519397,28/02/2010,0,66,21.2716,-157.8168,3,WAIKIKI 717.2,US,HI
